App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"N Health LabOnline
            4+",121.7 MB,4+,English,Free,N/A,N/A,N/A,"Location,Contact Info,User Content",https://apps.apple.com/us/app/n-health-labonline/id1466772831,15,"Jun 8, 2022","Jun 17, 2019"
"N Sterile
            4+",76.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/n-sterile/id1570222877,5,"Oct 18, 2021","Jun 7, 2021"
"N W Genetics
            4+",28.2 MB,4+,English,Free,N/A,5.0,2 Ratings,"Health & Fitness,Diagnostics",https://apps.apple.com/us/app/n-w-genetics/id1563480080,1,N/A,N/A
"N Z E A L T H   Fitness
            12+",144.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Dutch, French, German, Greek, Italian, Latvian, Lithuanian, Norwegian Bokmål, Polish, Portuguese, Russian, Spanish, Turkish


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/n-z-e-a-l-t-h-fitness/id1479039695,12,"Dec 6, 2020","Oct 4, 2019"
"N-Born - Baby Feeding Tracker
            4+",62.7 MB,4+,"English, Arabic, Danish, Dutch, French, German, Italian, Japanese, Korean, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish, Vietnamese


        more",Free,True,4.7,37 Ratings,"Identifiers,Identifiers,Usage Data",https://apps.apple.com/us/app/n-born-baby-feeding-tracker/id1526115893,11,"Jun 19, 2021","Nov 19, 2020"
"N-ERGO
            4+",56.6 MB,4+,"English, Italian, Russian, Ukrainian",Free,N/A,N/A,N/A,"Usage Data,Diagnostics",https://apps.apple.com/us/app/n-ergo/id1444185167,3,"Oct 13, 2021","Nov 22, 2018"
"N-Fit
            4+",302.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/n-fit/id1532006107,5,"Jul 1, 2021","Sep 21, 2020"
"N-FLUX DC
            4+",47.2 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/n-flux-dc/id1265293401,11,"Dec 22, 2021","Jul 29, 2017"
"N.A Fitnesstudio
            4+",11.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/n-a-fitnesstudio/id1494143550,2,"Jan 28, 2020","Jan 9, 2020"
"N.Bar
            4+",26.5 MB,4+,"English, Arabic, Danish, Dutch, Finnish, French, German, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Persian, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish, Vietnamese


        more",Free,N/A,1.7,6 Ratings,N/A,https://apps.apple.com/us/app/n-bar/id1483939335,6,"Jun 9, 2022","Oct 9, 2020"
"N.C.N Nails & Beauty
            4+",27.5 MB,4+,English,Free,N/A,N/A,N/A,"Purchases,Financial Info,Location,Contact Info",https://apps.apple.com/us/app/n-c-n-nails-beauty/id1584842168,1,N/A,N/A
"The Skin Clinic N. Scottsdale
            4+",47.3 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/the-skin-clinic-n-scottsdale/id1452007965,4,"Apr 8, 2022","Mar 19, 2019"
"N1-Headache
            12+",69.3 MB,"12+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Medical/Treatment Information","English, German",Free,True,4.4,411 Ratings,"Health & Fitness,Identifiers",https://apps.apple.com/us/app/n1-headache/id925671723,25,"Oct 26, 2021","Jun 15, 2018"
"N2FitClub
            12+",147.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Czech, Dutch, French, German, Greek, Italian, Latvian, Lithuanian, Norwegian Bokmål, Polish, Portuguese, Russian, Spanish, Turkish


        more",Free,N/A,N/A,N/A,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/n2fitclub/id1446861155,9,"May 15, 2022","Dec 14, 2018"
"N3n3 Fit
            4+",32 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/n3n3-fit/id1482533153,1,N/A,N/A
"N6 Barbearia
            4+",15 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/n6-barbearia/id1529340637,3,"Feb 23, 2022","Aug 27, 2020"
"N7 Pilates Box
            4+",77.6 MB,4+,"English, Italian, Spanish",Free,N/A,N/A,N/A,"Contact Info,User Content,Identifiers,Diagnostics,Location",https://apps.apple.com/us/app/n7-pilates-box/id1524624906,5,"Nov 11, 2021","Jul 27, 2020"
"NA BÍLÉ
            4+",19.8 MB,4+,"English, Czech",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/na-b%C3%ADl%C3%A9/id1149292041,2,"Aug 4, 2020","Sep 5, 2016"
"Na Fianna Martial Arts
            17+",90.3 MB,17+,English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/na-fianna-martial-arts/id1578443621,1,N/A,N/A
"Na Garagem Barbearia
            4+",59.3 MB,4+,English,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/na-garagem-barbearia/id1551863826,1,N/A,N/A
"NA Meeting Search
            4+",69.2 MB,4+,English,Free,N/A,3.5,87 Ratings,N/A,https://apps.apple.com/us/app/na-meeting-search/id627643748,24,"May 12, 2022","Apr 24, 2013"
"NA Speaker Tapes & Addiction Recovery Audio
            17+",24.6 MB,"17+

              Frequent/Intense Medical/Treatment Information
Frequent/Intense Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Profanity or Crude Humor
Infrequent/Mild Mature/Suggestive Themes",English,Free,True,4.8,2.5K Ratings,N/A,https://apps.apple.com/us/app/na-speaker-tapes-addiction-recovery-audio/id1018096532,9,"Aug 25, 2017","Aug 4, 2015"
"Naamly Fitness
            4+",55.2 MB,4+,English,Free,N/A,5.0,4 Ratings,N/A,https://apps.apple.com/us/app/naamly-fitness/id1492427316,15,"Jun 11, 2022","Dec 21, 2019"
"Naattu Maruthuvam
            17+",55.3 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/naattu-maruthuvam/id1234102644,1,"May 22, 2017","May 22, 2017"
"Naawel - ناول
            4+",39.7 MB,4+,English,Free,N/A,4.8,5 Ratings,N/A,https://apps.apple.com/us/app/naawel-%D9%86%D8%A7%D9%88%D9%84/id1535053630,24,"Jul 19, 2021","Oct 13, 2020"
"Naawel Driver
            4+",35.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/naawel-driver/id1557726966,9,"Jun 21, 2021","Mar 11, 2021"
"Naawel Vendor
            17+",16.5 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/naawel-vendor/id1577725940,1,N/A,N/A
"NAB Nail Bar
            4+",96.6 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,4.3,16 Ratings,N/A,https://apps.apple.com/us/app/nab-nail-bar/id1273796249,6,"Jul 5, 2018","Aug 22, 2017"
