,App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Application Type,Country Count,Countries
0,TraceTogether,PEGI 3,0.0,False,2.9,57100,https://play.google.com/store/apps/details?id=sg.gov.tech.bluetrace,"May 31, 2022","Mar 9, 2020","1,000,000+",2.14.2,MEDICAL,31,"FO,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
1,Blood Pressure Analyze,PEGI 3,0.0,True,3.9,12300,https://play.google.com/store/apps/details?id=com.waterfullrainbow.bloodpressureanalyze,"Sep 9, 2021","Apr 1, 2019","1,000,000+",1.3.2,MEDICAL,32,"FO,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GR,GP,GF"
2,Monash University FODMAP diet,PEGI 3,5.6,False,3.5,2470,https://play.google.com/store/apps/details?id=com.monashuniversity.fodmap,"Jan 18, 2022","Nov 6, 2013","100,000+",3.0.9,MEDICAL,46,"FO,PT,HR,IT,DE,FI,EE,HU,SI,ES,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,LI,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,FR,SE,PM,RE,PL,GR,DK,GP,GF"
3,Squeezy: NHS Pelvic Floor App,PEGI 3,2.99,False,4.6,3250,https://play.google.com/store/apps/details?id=com.propagator.squeezy,"Mar 4, 2019","Sep 17, 2014","50,000+",Varies with device,MEDICAL,45,"FO,PT,HR,SM,GI,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,VA,BE,BG,WF,LI,AX,NC,NO,MT,MC,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,PM,RE,PL,GR,DK,GP,GF"
4,Muscle Trigger Point Anatomy,PEGI 3,2.69,False,4.5,1590,https://play.google.com/store/apps/details?id=com.real.bodywork.muscle.trigger.points,"Jul 30, 2019","Jan 27, 2011","50,000+",2.4.8,MEDICAL,42,"FO,PT,HR,IT,DE,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,PM,RE,PL,GR,DK,GP,GF"
5,หมอพร้อม,PEGI 3,0.0,False,2.5,84800,https://play.google.com/store/apps/details?id=com.mor.promplus,"Apr 4, 2022","Jun 19, 2021","10,000,000+",0.7.9,MEDICAL,31,"FO,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
6,Whitebook Medicina: Residência,PEGI 3,0.0,True,4.4,10300,https://play.google.com/store/apps/details?id=com.medprescricao,"Jun 1, 2022","Apr 10, 2013","1,000,000+",11.13.0,MEDICAL,36,"FO,PT,HR,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BG,WF,LI,AX,NC,NO,MT,BL,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,GR,DK,GP,GF"
7,Advanced Naming Therapy,PEGI 3,21.99,False,0.0,0,https://play.google.com/store/apps/details?id=com.tactustherapy.advancednaming,"Feb 3, 2022","Jun 9, 2017",500+,2.0.107,MEDICAL,40,"FO,PT,HR,SM,GI,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,VA,WF,LI,NC,NO,MT,MC,BL,NL,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
8,MyTherapy Pill Reminder,PEGI 3,0.0,False,4.6,135000,https://play.google.com/store/apps/details?id=eu.smartpatient.mytherapy,"Jun 21, 2022","Apr 14, 2015","5,000,000+",3.88.4,MEDICAL,45,"FO,PT,HR,IT,SM,GI,DE,EE,HU,SI,ES,GL,SK,PF,SJ,IS,VA,BE,BG,WF,LI,AX,NC,NO,MT,MC,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,FR,PM,RE,PL,GR,DK,GP,GF"
9,新型コロナワクチン接種証明書アプリ,PEGI 3,0.0,False,0.0,0,https://play.google.com/store/apps/details?id=jp.go.digital.vrs.vpa,"May 24, 2022","Nov 5, 2021","1,000,000+",1.3.0,MEDICAL,31,"FO,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
